real,lstm,informer,
0.5641481381283616,0.5641481381283616,0.5641481381283616,
0.5402362359975605,0.5402362359975605,0.5402362359975605,
0.527291860587747,0.527291860587747,0.527291860587747,
0.5221264908041287,0.5221264908041287,0.5221264908041287,
0.5330132011536679,0.5330132011536679,0.5330132011536679,
0.5255282295597629,0.5255282295597629,0.5255282295597629,
0.5040580135450531,0.5040580135450531,0.5040580135450531,
0.5062824698400179,0.5062824698400179,0.5062824698400179,
0.5211521090207119,0.5211521090207119,0.5211521090207119,
0.5054708671310073,0.5054708671310073,0.5054708671310073,
0.5046403499520833,0.5046403499520833,0.5046403499520833,
0.4790106700536941,0.4790106700536941,0.4790106700536941,
0.4811245053579535,0.4811245053579535,0.4811245053579535,
0.5060893129805994,0.5060893129805994,0.5060893129805994,
0.5014982552834419,0.5014982552834419,0.5014982552834419,
0.4914093916647943,0.4914093916647943,0.4914093916647943,
0.4900951225886917,0.4900951225886917,0.4900951225886917,
0.4948323375533617,0.4948323375533617,0.4948323375533617,
0.4647795375240156,0.4647795375240156,0.4647795375240156,
0.4723384475003095,0.4723384475003095,0.4723384475003095,
0.4936017506774819,0.4936017506774819,0.4936017506774819,
0.5065707722147583,0.5065707722147583,0.5065707722147583,
0.4936172261528656,0.4936172261528656,0.4936172261528656,
0.4786088808594735,0.4786088808594735,0.4786088808594735,
0.4611307643279976,0.4611307643279976,0.4611307643279976,
0.4589309541604956,0.4589309541604956,0.4589309541604956,
0.4429121176411249,0.4429121176411249,0.4429121176411249,
0.4538630225552188,0.4538630225552188,0.4538630225552188,
0.4616855887787901,0.4616855887787901,0.4616855887787901,
0.4646803798484091,0.4646803798484091,0.4646803798484091,
0.4527671296317525,0.4527671296317525,0.4527671296317525,
0.4444843113069555,0.4444843113069555,0.4444843113069555,
0.4730514656994685,0.4730514656994685,0.4730514656994685,
0.4767810552669348,0.4767810552669348,0.4767810552669348,
0.4672097603250079,0.4672097603250079,0.4672097603250079,
0.44306916505798144,0.44306916505798144,0.44306916505798144,
0.4153176255347637,0.4153176255347637,0.4153176255347637,
0.4442034600870295,0.4442034600870295,0.4442034600870295,
0.43755301783233297,0.43755301783233297,0.43755301783233297,
0.4494628290544599,0.4494628290544599,0.4494628290544599,
0.48020572065276707,0.48020572065276707,0.48020572065276707,
0.4910964431625911,0.4910964431625911,0.4910964431625911,
0.5119631156373374,0.5119631156373374,0.5119631156373374,
0.5184421813313036,0.5184421813313036,0.5184421813313036,
0.5003324361378716,0.5003324361378716,0.5003324361378716,
0.5066286619560084,0.5066286619560084,0.5066286619560084,
0.5138350749930074,0.5138350749930074,0.5138350749930074,
0.5235553930312214,0.5235553930312214,0.5235553930312214,
0.528369412207055,0.528369412207055,0.528369412207055,
0.5381785709372865,0.5381785709372865,0.5381785709372865,
0.5248839912511979,0.5248839912511979,0.5248839912511979,
0.5047624342578879,0.5047624342578879,0.5047624342578879,
0.5203840669090776,0.5203840669090776,0.5203840669090776,
0.5394068651501465,0.5394068651501465,0.5394068651501465,
0.5400155671819045,0.5400155671819045,0.5400155671819045,
0.5455735555076644,0.5455735555076644,0.5455735555076644,
0.5463960483660191,0.5463960483660191,0.5463960483660191,
0.556949176246177,0.556949176246177,0.556949176246177,
0.5657850995245016,0.5657850995245016,0.5657850995245016,
0.5916652528578045,0.5916652528578045,0.5916652528578045,
0.5889031670846956,0.5889031670846956,0.5889031670846956,
0.6000483751897179,0.6000483751897179,0.6000483751897179,
0.5973877397552353,0.5973877397552353,0.5973877397552353,
0.6119942958544067,0.6119942958544067,0.6119942958544067,
0.6084309243558763,0.6084309243558763,0.6084309243558763,
0.596525698459789,0.596525698459789,0.596525698459789,
0.5816061938584143,0.5816061938584143,0.5816061938584143,
0.5590538408983571,0.5590538408983571,0.5590538408983571,
0.5560269525464608,0.5560269525464608,0.5560269525464608,
0.5539417755299489,0.5539417755299489,0.5539417755299489,
0.530603612319854,0.530603612319854,0.530603612319854,
0.5058428517059705,0.5058428517059705,0.5058428517059705,
0.5113091335109383,0.5113091335109383,0.5113091335109383,
0.5089860927061218,0.5089860927061218,0.5089860927061218,
0.4895024691980723,0.4895024691980723,0.4895024691980723,
0.4775915116444355,0.4775915116444355,0.4775915116444355,
0.4506813794494857,0.4506813794494857,0.4506813794494857,
0.4528066780688441,0.4528066780688441,0.4528066780688441,
0.4443272638900989,0.4443272638900989,0.4443272638900989,
0.4239787332578283,0.4239787332578283,0.4239787332578283,
